Lote,IdVenta,Fecha,Cliente,Producto,Vendedor,Region,CondicionPago,Precio_Compra,Precio_Venta,Cantidad,Entrada_Stock,Salida_Venta,Stock_Actual,Ingresos,Costos,Margen,Porc_Margen,Meta,Diferencia,Porc_Cumpl
"1772830661555","INV-01345","2026-03-02","Banco BHD","Tablet iPad","Laura Fernández","Norte","Contado","300","550","7","22","7","15","3850","2100","1750","45.45","3915.73","-65.73","98.32"
"1772830661555","INV-01345","2026-03-02","Banco BHD","Mouse Gamer","Laura Fernández","Norte","Contado","35","70","17","66","17","49","1190","595","595","50.00","1331.93","-141.93","89.34"
"1772830661555","INV-01346","2026-03-04","Cap Cana","Smartwatch Samsung","Pedro Castillo","Este","Transferencia","180","350","5","11","5","6","1750","900","850","48.57","1639.22","110.78","106.76"
"1772830661555","INV-01346","2026-03-04","Cap Cana","Servidor HP","Pedro Castillo","Este","Transferencia","1500","2500","4","18","4","14","10000","6000","4000","40.00","9510.98","489.02","105.14"
"1772830661555","INV-01347","2026-03-02","Grupo Punta Cana","Surface Pro","Carlos Méndez","Este","Transferencia","850","1350","13","27","13","14","17550","11050","6500","37.04","16494.01","1055.99","106.40"
"1772830661555","INV-01348","2026-03-02","Bella Vista Mall","Laptop Dell XPS","Sofía Gómez","Sur","Tarjeta","800","1200","4","8","4","4","4800","3200","1600","33.33","4468.51","331.49","107.42"
"1772830661555","INV-01348","2026-03-02","Bella Vista Mall","Smart TV LG 55","Sofía Gómez","Sur","Tarjeta","450","850","5","35","5","30","4250","2250","2000","47.06","4154.71","95.29","102.29"
"1772830661555","INV-01348","2026-03-02","Bella Vista Mall","Tablet iPad","Sofía Gómez","Sur","Tarjeta","300","550","1","8","1","7","550","300","250","45.45","625.74","-75.74","87.90"
"1772830661555","INV-01348","2026-03-02","Bella Vista Mall","Teclado Logitech","Sofía Gómez","Sur","Tarjeta","40","85","15","46","15","31","1275","600","675","52.94","1382.49","-107.49","92.22"
"1772830661555","INV-01348","2026-03-02","Bella Vista Mall","Xbox Series X","Sofía Gómez","Sur","Tarjeta","420","680","15","33","15","18","10200","6300","3900","38.24","8821.23","1378.77","115.63"
"1772830661555","INV-01349","2026-02-28","Grupo Punta Cana","Smartwatch Samsung","Miguel Vargas","Santo Domingo","Crédito 60 días","180","350","18","44","18","26","6300","3240","3060","48.57","6791.66","-491.66","92.76"
"1772830661555","INV-01349","2026-02-28","Grupo Punta Cana","Switch Cisco","Miguel Vargas","Santo Domingo","Crédito 60 días","700","1200","7","50","7","43","8400","4900","3500","41.67","8172.47","227.53","102.78"
"1772830661555","INV-01349","2026-02-28","Grupo Punta Cana","Servidor HP","Miguel Vargas","Santo Domingo","Crédito 60 días","1500","2500","11","46","11","35","27500","16500","11000","40.00","32138.39","-4638.39","85.57"
"1772830661555","INV-01349","2026-02-28","Grupo Punta Cana","Smart TV LG 55","Miguel Vargas","Santo Domingo","Crédito 60 días","450","850","1","7","1","6","850","450","400","47.06","765.23","84.77","111.08"
"1772830661555","INV-01350","2026-02-28","Altice Dominicana","Apple Watch","Sofía Gómez","Distrito Nacional","Crédito 60 días","250","450","12","40","12","28","5400","3000","2400","44.44","5278.05","121.95","102.31"
"1772830661555","INV-01350","2026-02-28","Altice Dominicana","Tablet iPad","Sofía Gómez","Distrito Nacional","Crédito 60 días","300","550","10","39","10","29","5500","3000","2500","45.45","5799.68","-299.68","94.83"
"1772830661555","INV-01350","2026-02-28","Altice Dominicana","iPhone 14 Pro","Sofía Gómez","Distrito Nacional","Crédito 60 días","850","1300","19","68","19","49","24700","16150","8550","34.62","23148.43","1551.57","106.70"
"1772830661555","INV-01350","2026-02-28","Altice Dominicana","Monitor LG 27","Sofía Gómez","Distrito Nacional","Crédito 60 días","180","320","12","22","12","10","3840","2160","1680","43.75","3280","560","117.07"
"1772830661555","INV-01350","2026-02-28","Altice Dominicana","UPS APC","Sofía Gómez","Distrito Nacional","Crédito 60 días","200","380","12","55","12","43","4560","2400","2160","47.37","4055.12","504.88","112.45"
"1772830661555","INV-01351","2026-02-28","Grupo Ramos","Surface Pro","Miguel Vargas","Este","Contado","850","1350","3","13","3","10","4050","2550","1500","37.04","4717.93","-667.93","85.84"
"1772830661555","INV-01351","2026-02-28","Grupo Ramos","Monitor LG 27","Miguel Vargas","Este","Contado","180","320","8","46","8","38","2560","1440","1120","43.75","2778.8","-218.8","92.13"
"1772830661555","INV-01351","2026-02-28","Grupo Ramos","Impresora HP Laser","Miguel Vargas","Este","Contado","180","350","11","42","11","31","3850","1980","1870","48.57","4616.64","-766.64","83.39"
"1772830661555","INV-01352","2026-02-28","Plaza Lama","Lenovo ThinkPad","María López","Distrito Nacional","Crédito 60 días","950","1500","8","11","8","3","12000","7600","4400","36.67","12314.55","-314.55","97.45"
"1772830661555","INV-01352","2026-02-28","Plaza Lama","Smartwatch Samsung","María López","Distrito Nacional","Crédito 60 días","180","350","17","28","17","11","5950","3060","2890","48.57","6096.68","-146.68","97.59"
"1772830661555","INV-01352","2026-02-28","Plaza Lama","Smart TV LG 55","María López","Distrito Nacional","Crédito 60 días","450","850","3","16","3","13","2550","1350","1200","47.06","2778.27","-228.27","91.78"
"1772830661555","INV-01353","2026-03-01","Hotel Embajador","PlayStation 5","Juan Peña","Distrito Nacional","Crédito 30 días","400","650","4","33","4","29","2600","1600","1000","38.46","2885.6","-285.6","90.10"
"1772830661555","INV-01353","2026-03-01","Hotel Embajador","Smartwatch Samsung","Juan Peña","Distrito Nacional","Crédito 30 días","180","350","10","51","10","41","3500","1800","1700","48.57","4085.74","-585.74","85.66"
"1772830661555","INV-01353","2026-03-01","Hotel Embajador","Xbox Series X","Juan Peña","Distrito Nacional","Crédito 30 días","420","680","12","61","12","49","8160","5040","3120","38.24","9602.26","-1442.26","84.98"
"1772830661555","INV-01353","2026-03-01","Hotel Embajador","Disco SSD 1TB","Juan Peña","Distrito Nacional","Crédito 30 días","90","180","8","38","8","30","1440","720","720","50.00","1419.08","20.92","101.47"
